orbit_height_km,transmission_power_W,num_users,djscc_accuracy,ldpc_accuracy
400.0,0.1,3,0.6744791666666666,0.0
400.0,1.0,3,0.6865624984105428,0.19999999999999998
400.0,5.0,3,0.6978125174840292,0.39999999999999997
400.0,7.0,3,0.6985937356948853,0.6
400.0,10.0,3,0.69942706823349,0.6
400.0,50.0,3,0.7002604206403097,0.6
400.0,75.0,3,0.7003645896911621,0.6
400.0,100.0,3,0.700781246026357,0.6
600.0,0.1,3,0.6680729190508524,0.0
600.0,1.0,3,0.6776041785875956,0.19999999999999998
600.0,5.0,3,0.6949999928474426,0.19999999999999998
600.0,7.0,3,0.6965624888737997,0.39999999999999997
600.0,10.0,3,0.6976041595141093,0.39999999999999997
600.0,50.0,3,0.6998437444368998,0.6
600.0,75.0,3,0.6995833516120911,0.6
600.0,100.0,3,0.7001041769981384,0.6
1000.0,0.1,3,0.6665624976158142,0.0
1000.0,1.0,3,0.6756250063578287,0.0
1000.0,5.0,3,0.6854166587193807,0.19999999999999998
1000.0,7.0,3,0.6901041666666666,0.19999999999999998
1000.0,10.0,3,0.6934374968210856,0.19999999999999998
1000.0,50.0,3,0.6991145809491476,0.6
1000.0,75.0,3,0.6995312571525574,0.6
1000.0,100.0,3,0.6997395952542623,0.6
